[WARN] | 0:23 | 'report edit:  | Status: red | documentID: sA7MfBDWXGLTx2vC7' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 0:23 | 'report edit:  | Actual Number: 32 | documentID: sA7MfBDWXGLTx2vC7' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 0:23 | 'report edit:  | Operator ID Array: 00155,00131,00154,null | documentID: sA7MfBDWXGLTx2vC7' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:46 | 'report edit:  | Actual Number: 2 | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:46 | 'report edit:  | Status: green | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:46 | 'report edit:  | Operator ID Array: 00155,00131,00154,null | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:58 | 'report edit:  | Actual Number: 2 | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:58 | 'report edit:  | Status: green | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:58 | 'report edit:  | Reason: test | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 1:58 | 'report edit:  | Operator ID Array: 00155,00131,00154,null | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:7 | 'report edit:  | Actual Number: 2 | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:7 | 'report edit:  | Status: green | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:7 | 'report edit:  | Reason: test1 | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:7 | 'report edit:  | Operator ID Array: 00155,00131,00154,null | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:19 | 'report edit:  | Actual Number: 2 | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:19 | 'report edit:  | Status: green | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:19 | 'report edit:  | Reason: test1 | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
[WARN] | 2:19 | 'report edit:  | Operator ID Array: 00155,00131,null,null | documentID: vpGCQ6qKTrQbQhRof' | username: "HR_test" | User Id: 5ugvJ8DvsMnsu3Kd6
