Work,Assembly No,Prod,1 Operator Minutes,2 Operator Minutes,3 Operator Minutes,Drawing ,Drawing Link,Quality Flag,1 Operator Pcs/Hr,2 Operator Pcs/Hr,3 Operator Pcs/Hr
6164,S4000C,WM15,0.2,0,,S4000C.pdf,http://datuswes008/SOLIDWORKSPDM/Contains/EWS%20DB/Material/WM/Finished%20Goods?file=S4000C.pdf,,300,0,0
6164,S4000B,WM15,0.1,,,S4000B.pdf,http://datuswes008/SOLIDWORKSPDM/Contains/EWS%20DB/Material/WM/Finished%20Goods?file=S4000B.pdf,,769.2,,
